theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-06-16,148.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-06-09,195.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-06-02,175.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-05-26,251.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-05-19,304.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-05-12,283.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-05-05,286.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-04-28,436.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-04-21,508.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-04-14,439.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-04-07,484.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-03-31,599.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-03-24,584.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-03-17,512.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-03-10,521.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-03-03,499.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-02-24,399.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-02-17,401.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-02-10,432.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-02-03,469.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-01-27,545.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-01-20,711.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-01-13,849.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-01-06,679.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-12-30,367.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-12-23,397.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-12-16,364.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-12-09,295.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-12-02,299.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-11-25,333.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-11-18,401.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-11-11,478.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-11-04,605.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2022,2022-10-28,620.0000,False
